nom_nivell,hora_inici,assistenciaMateixaHora1WeekBefore,assistenciaMateixaHora2WeekBefore,assistenciaMateixaHora3WeekBefore,assistenciaaHoraAnterior,assistencia
ESO,11:30:00,Absent,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Absent,Absent,NA,Present,Absent
ESO,11:30:00,Absent,Absent,NA,Present,Absent
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Absent
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,11:30:00,Present,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
ESO,13:45:00,Absent,Absent,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,12:45:00,Present,Absent,NA,Present,Present
BTX,12:45:00,Present,Present,NA,Present,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Absent,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Absent
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,NA,NA,Present,Present
BTX,10:30:00,NA,NA,NA,Present,Present
BTX,10:30:00,NA,NA,NA,Present,Present
BTX,10:30:00,NA,NA,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Absent,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Absent,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,10:30:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Absent,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,13:45:00,Present,Present,NA,Present,Present
BTX,08:15:00,NA,NA,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Absent
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Absent
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,Present,Present,NA,NA,Present
BTX,08:15:00,NA,NA,NA,NA,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Absent,Absent
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,Present,Present,NA,Present,Present
ESO,10:30:00,NA,NA,NA,NA,Absent
BTX,11:30:00,Present,Present,NA,Absent,Absent
BTX,11:30:00,Present,Present,NA,Absent,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Absent,Absent
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,NA,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
BTX,11:30:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Absent,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Absent,Absent
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,09:15:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Absent,Present,NA,Present,Present
Alumnes x Classificar,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,NA,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,12:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Absent,Absent
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Absent,Absent
ESO,13:45:00,Present,Present,NA,Absent,Present
ESO,13:45:00,Present,Present,NA,Present,Absent
ESO,13:45:00,Absent,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
ESO,13:45:00,Present,Present,NA,Present,Present
